Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,employment_employed,Labor_force,employment_unemployed,Employment Rate,Unemployment Rate,Median_male_age,Median_female_age,High_school_diploma,Male_population,Female_population,Students_population,Population_from_5_17,Population_18_over,Gini_index,Region
60612,35559.0,31.1,37137.0,22057.0,11774.0,33.11116735566242,14412.0,17080.0,2668.0,84.37939110070258,15.620608899297423,30.3,31.7,4452.0,17292.0,18267.0,34001.0,51.0,801.0,0.5316,West Town
60620,69299.0,39.6,32401.0,17940.0,18709.0,26.99750357148011,24623.0,31680.0,7050.0,77.72411616161617,22.25378787878788,35.1,42.5,13243.0,30843.0,38456.0,67302.0,67.0,106.0,0.4672,Auburn Gresham
60625,79157.0,34.0,59601.0,31245.0,13101.0,16.550652500726404,44178.0,47661.0,3419.0,92.6921382262227,7.173580075953085,33.8,34.3,8259.0,39648.0,39509.0,75449.0,2099.0,8820.0,0.471,North Park
60628,68077.0,37.9,35654.0,18433.0,21178.0,31.108891402382596,22582.0,30565.0,7956.0,73.8818910518567,26.029772615736952,35.1,40.4,10490.0,30248.0,37829.0,65966.0,165.0,488.0,0.4909,Roseland
60629,115104.0,30.4,41471.0,15294.0,25752.0,22.37281067556297,46150.0,55848.0,9698.0,82.63500931098696,17.364990689013034,30.1,30.7,21028.0,55867.0,59237.0,110151.0,3213.0,8548.0,0.4267,West Lawn
60631,28238.0,43.3,79458.0,40500.0,1280.0,4.532898930519159,14575.0,15279.0,704.0,95.39236861051116,4.607631389488841,42.7,43.8,4778.0,13214.0,15024.0,27486.0,76.0,889.0,0.4352,Edison Park
60632,91668.0,30.6,40829.0,15067.0,20597.0,22.46912772177859,38483.0,43635.0,5150.0,88.1929643634697,11.802452159963332,30.3,30.9,15719.0,47103.0,44565.0,87807.0,3894.0,11764.0,0.415,Archer Heights
60634,73382.0,38.6,58184.0,26564.0,8397.0,11.442860647025157,37048.0,39807.0,2690.0,93.06905820584319,6.757605446278292,38.2,39.1,14614.0,35584.0,37798.0,70390.0,995.0,7798.0,0.4172,Montclare
60636,35779.0,35.3,27475.0,13902.0,12644.0,35.33916543223679,10299.0,15224.0,4925.0,67.64976353126642,32.35023646873358,33.1,38.0,8303.0,16827.0,18952.0,34502.0,130.0,283.0,0.4852,West Englewood
60649,45218.0,38.4,26246.0,20699.0,15271.0,33.77194922376045,16866.0,20998.0,4132.0,80.32193542242118,19.678064577578816,36.7,39.2,5831.0,19180.0,26038.0,43418.0,115.0,505.0,0.5515,South Shore
